109/05/04,72252861,21341931218,294.5,296.5,294,295,-9.5,37736
109/05/05,23988405,7104774785,296.5,298,295,295.5,0.5,13569
109/05/06,35704479,10524838077,294.5,296,292.5,296,0.5,16046
109/05/07,28017198,8321170642,294.5,299,294.5,297.5,1.5,13149
109/05/08,35613893,10619091212,300,300,296,297.5,0,14345
109/05/11,32379019,9729431840,300,301.5,298.5,301,3.5,14920
109/05/12,52494788,15553012596,297.5,298.5,295,295,-6,29073
109/05/13,46158418,13619538824,293,297,292.5,297,2,14555
109/05/14,34480948,10119787160,293,295,292.5,293,-4,21482
109/05/15,44304804,13170466660,297.5,298.5,294.5,298,5,20071
109/05/18,96872065,28216346996,291,293.5,290,290,-8,49640
109/05/19,53083214,15527338138,294,294,291.5,291.5,1.5,22033
109/05/20,36789994,10772280152,293,294,291,294,2.5,16906
109/05/21,36299468,10782482962,296,298,295,297.5,3.5,17064
109/05/22,41138923,12025339565,294.5,295,291,292,-5.5,22345
109/05/25,32942223,9568008388,290.5,293,288.5,292,0,14585
109/05/26,35817481,10609868646,295,297.5,293.5,295.5,3.5,19524
109/05/27,23375959,6932934823,297,298,295.5,296.5,1,11244
109/05/28,32395568,9575118830,298.5,298.5,293,294,-2.5,13208
109/05/29,96611181,28172174547,292,292.5,290,292,-2,21037
